x,y
0.084,1.269
0.102,44.114
0.147,5.984
0.201,35.501
0.245,27.678
0.256,35.743
0.265,24.247
0.31,38.237
0.392,5.812
0.478,44.65
0.522,13.473
0.629,43.377
0.674,54.718
0.722,59.918
0.762,16.737
0.819,5.387
0.84,63.691
0.856,37.54
1.013,18.71
1.056,23.202
1.134,47.9
1.25,20.965
1.627,49.871
1.826,24.66
1.885,13.742
1.913,37.244
1.959,44.457
1.989,23.682
2.013,50.994
2.016,35.037
2.06,62.346
2.088,50.279
2.097,6.699
2.251,55.888
2.351,47.325
2.369,1.846
2.38,23.856
2.527,2.675
2.582,44.53
2.617,8.809
2.67,22.495
2.727,7.884
2.76,16.892
2.845,62.288
2.852,40.59
2.922,19.872
2.941,12.863
2.951,15.796
2.997,47.465
3.088,12.724
3.208,18.368
3.265,20.524
3.389,32.951
3.595,35.019
3.677,24.781
3.71,6.652
3.757,46.989
3.819,62.649
3.857,4.26
3.875,24.072
3.884,27.781
3.995,52.292
4.069,51.541
4.09,49.364
4.258,46.501
4.269,17.517
4.288,2.816
4.297,50.081
4.309,45.412
4.438,60.627
4.541,61.199
4.681,58.72
4.743,6.924
4.911,37.2
4.919,63.441
5.044,60.887
5.073,8.127
5.095,32.214
5.213,22.871
5.394,18.236
5.454,41.895
5.505,48.193
5.524,56.886
5.597,34.144
5.608,22.315
5.672,18.682
5.672,37.622
5.755,56.621
5.811,62.252
5.828,51.608
5.876,25.962
5.977,2.161
6.121,9.008
6.299,35.133
6.304,31.183
6.35,41.916
6.404,56.12
6.457,40.873
6.533,38.074
6.653,8.324
6.81,17.938
6.832,37.573
6.949,43.541
7.049,55.88
7.173,3.926
7.21,4.104
7.233,38.111
7.311,24.181
7.487,10.392
7.499,31.738
7.511,32.086
7.764,3.316
7.773,32.647
7.818,32.812
7.922,28.946
7.949,27.384
8.031,50.954
8.225,36.71
8.24,10.042
8.246,20.887
8.324,2.451
8.393,22.76
8.432,17.437
8.435,20.458
8.513,54.889
8.58,36.798
8.595,16.832
8.648,32.738
8.725,9.33
8.766,2.967
8.879,58.672
8.964,13.137
9.053,18.383
9.094,28.817
9.106,27.386
9.264,11.677
9.361,26.878
9.371,61.828
9.373,2.581
9.398,39.052
9.404,7.296
9.557,47.78
9.563,27.205
9.6,49.189
9.609,6.39
9.8,29.907
9.906,46.876
9.91,5.108
9.941,16.474
9.992,40.7
10.037,27.797
10.077,4.625
10.165,38.588
10.299,55.1
10.393,32.273
10.499,16.237
10.548,0.964
10.602,49.072
10.618,27.996
10.654,57.63
10.67,28.312
10.67,32.742
10.721,39.129
10.88,1.672
10.964,54.011
11.113,54.551
11.159,17.196
11.197,56.624
11.201,15.192
11.226,3.238
11.306,52.22
11.536,42.994
11.781,46.091
11.818,27.274
11.869,49.858
11.898,15.466
11.945,47.485
12.028,48.833
12.074,2.302
12.106,57.341
12.136,8.46
12.231,10.89
12.245,49.787
12.282,63.523
12.389,30.102
12.412,14.642
12.531,26.328
12.534,2.637
12.638,44.632
12.665,42.036
12.733,39.012
12.764,31.133
12.81,62.412
12.834,12.564
12.897,63.937
12.911,50.867
12.918,60.277
13.0,62.255
13.026,18.794
13.052,61.195
13.128,34.809
13.132,50.127
13.154,13.96
13.168,51.011
13.169,29.388
13.286,61.841
13.443,0.965
13.472,59.05
13.482,26.809
13.633,3.996
13.677,31.081
13.689,26.7
13.703,4.384
13.767,28.09
13.781,52.232
13.786,45.388
13.8,30.285
13.953,50.25
14.051,18.956
14.188,6.766
14.333,59.807
14.426,10.033
14.448,51.274
14.635,2.089
14.73,19.738
14.797,2.322
14.902,15.205
15.035,21.93
15.058,37.31
15.06,0.464
15.09,24.072
15.147,35.374
15.147,54.144
15.347,2.522
15.399,6.897
15.505,20.098
15.516,21.355
15.579,12.863
15.61,58.403
15.634,17.397
15.8,57.257
15.948,11.126
15.97,16.984
15.979,45.007
15.994,10.092
16.005,1.741
16.017,33.386
16.078,25.928
16.084,10.986
16.155,7.216
16.185,10.622
16.221,40.664
16.225,42.822
16.314,17.174
16.393,2.32
16.412,51.396
16.413,13.726
16.458,26.633
16.688,38.505
16.96,32.263
17.024,18.754
17.173,24.276
17.178,35.428
17.19,18.589
17.297,19.144
17.319,20.449
17.403,48.865
17.549,23.049
17.706,21.056
17.736,50.749
17.752,35.212
17.753,5.465
17.809,4.588
17.849,32.885
17.891,45.27
17.899,14.145
17.927,5.496
17.929,25.947
18.012,28.383
18.051,25.382
18.092,59.625
18.273,37.011
18.353,63.272
18.392,14.852
18.419,45.725
18.456,9.363
18.501,1.413
18.51,11.261
18.54,10.195
18.571,32.215
18.576,16.36
18.992,16.107
