x,y,centroidIndex
0.005000,68.998001,25
0.039000,372.838013,1
0.039000,400.437012,59
0.042000,322.871002,3
0.046000,136.509995,149
0.094000,10.496000,5
0.097000,21.316999,31
0.116000,209.658005,162
0.124000,394.451996,59
0.139000,106.969002,9
0.141000,182.716003,19
0.143000,362.675995,1
0.154000,28.181999,12
0.164000,335.722992,58
0.173000,307.877014,51
0.175000,137.184006,149
0.188000,113.560997,88
0.189000,162.606003,52
0.193000,338.734985,58
0.207000,182.033005,19
0.208000,369.609009,1
0.211000,267.173004,164
0.243000,340.527008,58
0.245000,274.402008,45
0.259000,232.313004,7
0.281000,71.385002,25
0.289000,130.529999,88
0.293000,363.436005,1
0.297000,429.490997,28
0.305000,115.720001,88
0.316000,18.671000,31
0.324000,25.552999,31
0.340000,47.103001,79
0.354000,351.757996,80
0.362000,221.229004,7
0.370000,450.177002,35
0.373000,249.684998,36
0.373000,409.166992,100
0.373000,434.300995,28
0.378000,295.002991,64
0.389000,424.809998,102
0.411000,289.238007,64
0.441000,286.442993,64
0.454000,15.807000,31
0.457000,226.996994,7
0.457000,288.779999,64
0.462000,238.850006,36
0.471000,155.654007,52
0.478000,181.335007,19
0.482000,314.325989,3
0.487000,375.605988,60
0.490000,300.756989,51
0.505000,149.061005,52
0.507000,247.776993,36
0.524000,186.115997,19
0.534000,115.377998,88
0.534000,179.746002,19
0.535000,427.334015,28
0.545000,333.480988,58
0.549000,395.916992,59
0.570000,389.604004,59
0.575000,172.238998,61
0.581000,287.610992,64
0.582000,252.401001,36
0.586000,295.682007,64
0.592000,87.875999,95
0.596000,174.199997,61
0.608000,233.811996,7
0.622000,218.397995,7
0.623000,242.126999,36
0.628000,331.644989,58
0.631000,278.256989,45
0.632000,37.448002,12
0.636000,124.075996,88
0.640000,262.940002,164
0.646000,434.556000,28
0.648000,151.029007,52
0.667000,395.032013,59
0.670000,98.328003,9
0.690000,48.688999,79
0.707000,356.757996,80
0.713000,169.789993,61
0.717000,126.891998,88
0.724000,24.844000,31
0.729000,249.473999,36
0.734000,431.781006,28
0.738000,189.332993,19
0.750000,7.747000,5
0.751000,130.050995,88
0.756000,1.142000,5
0.769000,422.657990,102
0.773000,206.751007,162
0.780000,44.715000,79
0.788000,347.411987,80
0.795000,129.300003,88
0.805000,86.414001,95
0.806000,327.028015,3
0.813000,201.479004,99
0.814000,259.234985,164
0.818000,194.199997,99
0.818000,404.309998,100
0.820000,308.700989,51
0.822000,420.897003,102
0.827000,206.261993,162
0.838000,410.782990,100
0.869000,26.313000,12
0.870000,214.089996,162
0.873000,420.557007,102
0.875000,102.594002,9
0.891000,370.802002,1
0.906000,416.466003,102
0.907000,428.290985,28
0.914000,224.028000,7
0.917000,106.569000,9
0.936000,190.500000,99
0.942000,287.994995,64
0.969000,19.896000,31
0.970000,238.539993,36
0.976000,316.093994,3
0.977000,235.235001,7
0.984000,23.039000,31
0.994000,204.401993,162
1.007000,162.873993,52
1.030000,346.024994,80
