x,y
0.009,2.746
0.016,89.323
0.031,50.346
0.035,15.146
0.04,47.674
0.051,229.537
0.053,172.421
0.092,60.653
0.116,201.948
0.136,141.357
0.141,77.285
0.147,193.509
0.151,166.051
0.151,233.265
0.165,80.214
0.199,137.421
0.229,123.492
0.255,240.463
0.264,124.197
0.292,241.697
0.294,129.091
0.306,48.922
0.317,117.844
0.323,104.208
0.335,62.495
0.342,76.98
0.354,48.573
0.36,143.578
0.361,182.938
0.361,187.834
0.396,159.581
0.437,95.343
0.446,28.962
0.446,236.012
0.464,110.726
0.479,213.069
0.494,178.721
0.508,110.857
0.519,46.504
0.53,22.31
0.535,19.464
0.546,15.694
0.552,100.893
0.557,171.878
0.575,67.787
0.588,233.479
0.593,192.669
0.602,255.841
0.62,130.439
0.623,135.118
0.648,33.804
0.692,162.99
0.703,211.003
0.748,115.622
0.753,175.234
0.829,150.553
0.832,125.242
0.837,48.286
0.839,59.75
0.901,63.385
0.911,197.257
0.949,20.894
0.975,57.327
0.989,184.844
1.004,53.706
1.004,177.125
1.01,22.724
1.014,4.466
1.034,190.151
1.069,15.572
1.086,13.349
1.142,155.201
1.148,7.471
1.149,28.377
1.15,66.397
1.153,13.792
1.185,137.902
1.245,52.703
1.267,227.574
1.275,210.243
1.284,40.594
1.288,146.586
1.294,54.82
1.294,254.502
1.297,58.401
1.328,244.314
1.335,105.991
1.336,91.19
1.34,54.684
1.38,120.801
1.38,244.379
1.402,122.659
1.416,255.443
1.449,106.474
1.451,6.531
1.465,119.254
1.475,80.05
1.482,64.013
1.482,168.712
1.496,123.399
1.57,37.559
1.596,87.929
1.623,239.672
1.673,237.577
1.693,83.593
1.699,230.213
1.703,220.867
1.801,154.529
1.817,104.092
1.819,94.28
1.824,52.328
1.824,65.163
1.838,189.043
1.866,222.244
1.904,89.725
1.927,34.834
1.93,181.196
1.955,45.32
1.959,116.412
1.961,43.843
1.962,148.863
1.973,35.494
1.975,7.371
1.983,78.351
1.985,255.848
1.996,240.207
2.009,50.547
2.024,28.49
2.036,16.197
2.055,174.008
2.114,219.56
2.122,236.359
2.13,207.708
2.136,126.61
2.186,199.595
2.216,118.864
2.223,126.631
2.226,210.056
2.229,252.801
2.239,82.339
2.245,81.541
2.26,112.268
2.267,155.816
2.297,39.848
2.319,241.051
2.325,175.072
2.34,75.105
2.344,79.307
2.346,233.356
2.358,204.36
2.363,43.148
2.383,241.648
2.388,117.421
2.392,241.079
2.393,104.013
2.399,167.484
2.407,150.598
2.409,153.371
2.459,7.313
2.476,52.861
2.483,132.296
2.492,127.557
2.497,216.768
2.504,78.798
2.512,113.078
2.535,107.93
2.537,44.544
2.542,86.604
2.563,187.55
2.601,78.029
2.626,91.907
2.643,163.165
2.668,101.342
2.678,169.491
2.683,109.605
2.684,100.398
2.725,51.482
2.726,101.078
2.729,24.189
2.738,94.695
2.746,108.637
2.752,156.919
2.753,192.68
2.761,137.534
2.78,108.055
2.794,122.293
2.8,174.986
2.802,115.075
2.811,122.521
2.818,98.59
2.822,213.793
2.837,51.924
2.843,74.494
2.88,17.452
2.888,108.975
2.938,32.966
2.965,82.917
3.007,122.373
3.053,251.273
3.055,30.886
3.071,69.354
3.15,39.539
3.159,218.114
3.16,167.598
3.187,113.129
3.194,128.104
3.199,135.194
3.214,141.16
3.276,245.811
3.313,106.544
3.324,38.33
3.348,43.752
3.35,142.438
3.363,162.99
3.404,253.824
3.409,76.622
3.453,27.04
3.457,42.484
3.462,244.386
3.463,49.864
3.487,199.019
3.488,115.354
3.492,114.656
3.512,45.645
3.549,138.04
3.567,145.769
3.57,104.011
3.588,95.444
3.602,188.008
3.61,21.6
3.624,137.003
3.641,61.307
3.653,213.077
3.654,209.48
3.683,9.819
3.684,172.015
3.684,224.719
3.69,53.507
3.717,13.693
3.717,83.025
3.72,165.647
3.731,236.821
3.764,96.122
3.772,149.574
3.783,252.628
3.796,255.383
3.819,110.587
3.831,240.738
3.836,241.93
3.851,247.921
3.857,167.188
