x,y
0.005,68.998
0.039,372.838
0.039,400.437
0.042,322.871
0.046,136.51
0.094,10.496
0.097,21.317
0.116,209.658
0.124,394.452
0.139,106.969
0.141,182.716
0.143,362.676
0.154,28.182
0.164,335.723
0.173,307.877
0.175,137.184
0.188,113.561
0.189,162.606
0.193,338.735
0.207,182.033
0.208,369.609
0.211,267.173
0.243,340.527
0.245,274.402
0.259,232.313
0.281,71.385
0.289,130.53
0.293,363.436
0.297,429.491
0.305,115.72
0.316,18.671
0.324,25.553
0.34,47.103
0.354,351.758
0.362,221.229
0.37,450.177
0.373,249.685
0.373,409.167
0.373,434.301
0.378,295.003
0.389,424.81
0.411,289.238
0.441,286.443
0.454,15.807
0.457,226.997
0.457,288.78
0.462,238.85
0.471,155.654
0.478,181.335
0.482,314.326
0.487,375.606
0.49,300.757
0.505,149.061
0.507,247.777
0.524,186.116
0.534,115.378
0.534,179.746
0.535,427.334
0.545,333.481
0.549,395.917
0.57,389.604
0.575,172.239
0.581,287.611
0.582,252.401
0.586,295.682
0.592,87.876
0.596,174.2
0.608,233.812
0.622,218.398
0.623,242.127
0.628,331.645
0.631,278.257
0.632,37.448
0.636,124.076
0.64,262.94
0.646,434.556
0.648,151.029
0.667,395.032
0.67,98.328
0.69,48.689
0.707,356.758
0.713,169.79
0.717,126.892
0.724,24.844
0.729,249.474
0.734,431.781
0.738,189.333
0.75,7.747
0.751,130.051
0.756,1.142
0.769,422.658
0.773,206.751
0.78,44.715
0.788,347.412
0.795,129.3
0.805,86.414
0.806,327.028
0.813,201.479
0.814,259.235
0.818,194.2
0.818,404.31
0.82,308.701
0.822,420.897
0.827,206.262
0.838,410.783
0.869,26.313
0.87,214.09
0.873,420.557
0.875,102.594
0.891,370.802
0.906,416.466
0.907,428.291
0.914,224.028
0.917,106.569
0.936,190.5
0.942,287.995
0.969,19.896
0.97,238.54
0.976,316.094
0.977,235.235
0.984,23.039
0.994,204.402
1.007,162.874
1.03,346.025
1.035,10.689
1.044,371.912
1.045,52.925
1.051,325.9
1.081,411.706
1.089,62.475
1.09,24.721
1.096,203.756
1.097,410.795
1.098,354.871
1.118,388.665
1.127,169.127
1.149,391.395
1.15,153.422
1.159,42.221
1.159,73.515
1.165,77.001
1.188,296.99
1.204,233.836
1.209,397.633
1.217,31.082
1.219,77.926
1.219,357.423
1.22,212.912
1.236,86.056
1.242,146.384
1.25,36.847
1.262,283.132
1.268,88.852
1.275,192.208
1.278,109.078
1.285,96.43
1.287,319.926
1.305,9.798
1.305,91.738
1.318,178.2
1.325,49.178
1.348,198.76
1.352,201.552
1.356,408.097
1.36,271.802
1.363,183.68
1.374,356.592
1.38,300.338
1.409,107.131
1.414,170.834
1.414,437.222
1.427,19.519
1.431,193.036
1.448,398.731
1.454,188.002
1.456,444.246
1.458,250.968
1.458,279.189
1.464,305.399
1.47,291.725
1.476,376.41
1.486,54.204
1.522,384.525
1.526,302.737
1.534,132.58
1.546,136.61
1.565,24.384
1.584,372.231
1.588,90.714
1.593,58.554
1.6,414.254
1.621,89.524
1.622,418.9
1.638,166.942
1.644,219.901
1.684,393.049
1.69,368.542
1.692,308.484
1.693,370.064
1.708,451.218
1.717,303.714
1.718,26.428
1.718,80.782
1.724,270.698
1.726,65.556
1.727,102.243
1.727,110.176
1.737,106.143
1.737,187.923
1.762,364.971
1.769,276.816
1.771,222.519
1.776,391.669
1.781,249.717
1.799,290.623
1.82,112.966
1.83,196.732
1.835,383.498
1.84,391.12
1.843,147.891
1.845,10.976
1.845,394.886
1.854,324.392
1.865,449.678
1.866,439.381
1.87,74.46
1.879,449.557
1.886,37.683
1.887,275.303
1.904,269.394
1.92,406.501
1.936,339.285
1.941,366.122
1.954,204.612
1.958,6.296
1.974,356.186
1.983,415.666
1.992,322.158
1.993,138.811
2.006,64.921
2.006,151.567
2.009,246.017
2.027,54.78
2.044,294.979
2.048,356.74
2.052,124.473
2.052,398.468
2.057,220.53
2.078,138.488
2.081,385.061
2.088,449.414
2.096,80.371
2.099,235.407
2.101,180.459
2.11,393.985
2.113,203.068
2.113,368.819
2.116,374.616
2.139,305.528
2.155,244.976
2.169,224.618
2.188,146.1
2.212,369.829
2.219,430.78
2.228,119.061
2.241,401.516
2.254,82.936
2.267,308.146
2.276,333.821
2.286,363.254
2.29,233.306
2.29,281.97
2.293,154.424
2.304,269.091
2.327,105.46
2.328,144.05
2.34,325.718
2.353,347.498
2.377,145.809
2.389,84.411
2.393,128.14
2.396,438.052
2.403,359.852
2.416,257.34
2.428,49.761
2.434,339.694
2.436,454.006
2.478,402.477
2.505,350.714
2.517,392.509
2.52,3.593
2.52,347.745
2.53,352.584
2.531,146.41
2.543,100.32
2.544,132.721
2.544,421.191
2.556,356.353
2.573,398.577
2.579,160.417
2.583,155.582
2.593,396.85
2.595,356.572
2.613,328.296
2.614,432.62
2.618,406.833
2.622,428.749
2.63,62.266
2.638,279.625
2.647,335.003
2.658,400.408
2.662,166.942
2.672,18.358
2.684,68.806
2.695,410.969
2.7,433.027
2.704,185.975
2.706,448.825
2.709,40.521
2.71,71.889
2.715,89.936
2.72,111.578
2.723,10.107
2.729,372.125
2.737,409.414
2.739,294.469
2.752,418.743
2.756,107.088
2.766,147.993
2.768,20.36
2.772,88.864
2.775,379.611
2.78,42.647
2.781,12.985
2.781,229.016
2.791,203.879
2.796,321.257
2.808,336.619
2.81,89.664
2.817,159.123
2.824,415.062
2.827,298.502
2.83,340.966
2.844,45.592
2.852,49.3
2.856,30.859
2.863,241.692
2.886,14.359
2.904,271.438
2.924,389.941
2.934,260.521
2.956,193.002
2.963,301.51
2.968,103.897
2.979,98.552
2.979,337.137
2.98,75.823
2.98,143.653
2.982,95.371
2.985,358.777
2.987,244.664
2.993,13.815
3.001,99.51
3.005,20.062
3.006,340.506
3.007,235.556
3.024,50.457
3.028,31.209
3.031,125.917
3.033,381.755
3.04,154.779
3.041,294.009
3.043,420.696
3.057,137.724
3.072,137.18
3.083,274.475
3.088,278.26
3.096,75.991
3.098,229.997
3.108,420.601
3.118,109.853
3.118,322.019
3.128,356.648
3.135,403.897
3.144,65.034
3.156,105.795
3.158,141.242
3.169,65.51
3.187,383.867
3.191,239.451
3.195,434.531
3.2,237.892
3.201,264.454
3.208,157.814
3.217,129.082
3.22,131.724
3.221,345.259
3.222,328.7
3.232,97.954
3.234,350.969
3.237,450.862
3.246,343.927
3.246,439.174
3.273,30.981
3.278,192.056
3.279,229.23
3.285,122.542
3.285,383.874
3.292,14.701
3.292,440.281
3.295,253.125
3.3,132.489
3.304,43.668
3.311,56.302
3.328,150.505
3.331,255.807
3.356,126.172
3.368,349.694
3.372,407.327
3.374,16.274
3.375,249.102
3.379,365.56
3.398,346.912
3.408,121.18
3.431,17.938
3.435,22.815
3.445,114.504
3.458,66.434
3.483,8.139
3.51,400.575
3.512,87.866
3.52,23.328
3.524,136.087
3.524,199.556
3.526,425.46
3.535,119.584
3.549,410.164
3.567,323.746
3.581,369.848
3.584,407.061
3.591,412.758
3.602,401.556
3.604,160.13
3.607,248.01
3.631,367.146
3.636,343.123
3.653,99.681
3.654,440.362
3.657,248.074
3.657,368.245
3.662,37.574
3.667,137.316
3.671,51.86
3.679,216.562
3.683,317.253
3.69,171.22
3.699,333.096
3.717,134.601
3.723,147.602
3.736,352.843
3.74,309.655
3.742,22.982
3.751,257.331
3.756,158.923
3.76,334.426
3.765,214.764
3.765,330.616
3.773,375.309
3.782,17.166
3.793,322.394
3.802,75.001
3.805,416.701
3.817,391.204
3.824,218.603
3.829,346.452
3.841,147.328
3.842,442.482
3.85,6.343
3.859,248.999
3.862,45.6
3.862,247.169
3.878,248.394
3.884,149.463
3.885,141.179
3.89,402.891
3.902,30.51
3.908,394.365
3.91,438.618
3.915,187.418
3.923,126.018
3.948,19.782
3.949,53.323
3.952,270.312
3.976,125.135
3.977,355.221
3.977,450.272
3.991,207.406
4.008,0.225
4.013,452.937
4.024,363.744
4.056,28.397
4.059,252.807
4.059,442.984
4.061,61.829
4.068,408.316
4.076,247.964
4.076,248.524
4.078,337.583
4.087,226.393
4.118,74.472
4.153,324.251
4.16,143.681
4.171,275.925
4.173,47.12
4.198,186.887
4.211,152.606
4.214,295.64
4.214,368.735
4.228,185.643
4.23,354.614
4.242,420.517
4.248,142.093
4.254,305.932
4.264,268.931
4.285,60.853
4.286,81.769
4.308,137.481
4.318,294.72
4.327,373.108
4.344,243.721
4.347,348.886
4.352,155.148
4.36,42.581
4.363,304.655
4.364,175.496
4.366,69.472
4.385,307.718
4.396,342.967
4.408,316.588
4.412,15.253
4.42,161.557
4.421,30.487
4.44,328.527
4.441,39.222
4.442,345.649
4.445,387.797
4.451,39.227
4.453,160.807
4.457,5.374
4.484,241.33
4.485,261.489
4.493,416.66
4.501,438.917
4.508,146.115
4.516,35.391
4.527,296.79
4.528,438.147
4.541,254.892
4.545,408.946
4.551,321.333
4.57,266.912
4.576,42.517
4.588,331.301
4.591,66.78
4.622,144.759
4.632,198.813
4.635,64.76
4.645,312.654
4.656,102.096
4.685,207.837
4.697,190.352
4.699,318.917
4.703,78.461
4.712,453.77
4.718,258.214
4.724,315.386
4.729,431.961
4.734,229.477
4.742,208.671
4.743,103.255
4.755,201.946
4.762,336.123
4.777,265.903
4.793,316.531
4.801,66.502
4.807,207.255
4.816,267.045
4.833,182.299
4.862,2.867
4.889,45.381
4.893,429.71
4.903,79.886
4.906,11.517
4.906,22.101
4.92,438.9
4.926,226.316
4.932,401.472
4.934,414.535
4.942,46.64
4.944,391.849
4.95,392.121
4.953,408.444
4.959,90.341
4.963,318.996
4.978,152.005
4.978,230.271
4.982,360.646
5.005,320.173
5.021,152.643
5.04,420.898
5.054,181.407
5.056,26.855
5.069,54.882
5.074,5.499
5.078,273.591
5.079,288.825
5.084,181.108
5.091,74.207
5.091,84.023
5.113,147.118
5.118,222.965
5.127,166.424
5.138,72.997
5.157,261.995
5.159,312.92
5.163,91.807
5.173,116.04
5.178,162.513
5.193,334.999
5.197,307.164
5.199,396.022
5.233,167.627
5.236,392.205
5.246,80.418
5.252,316.381
5.256,346.712
5.271,43.299
5.272,41.258
5.284,99.86
5.286,92.183
5.286,434.439
5.287,189.461
5.294,253.775
5.294,260.136
5.304,274.24
5.306,290.838
5.309,66.494
5.31,175.625
5.314,322.465
5.323,352.691
5.331,360.061
5.333,194.796
5.333,359.781
5.339,74.73
5.34,2.798
5.344,444.486
5.346,277.505
5.352,348.67
5.359,75.295
5.388,63.563
5.411,197.194
5.414,157.825
5.414,240.551
5.423,335.254
5.424,77.348
5.44,185.262
5.441,299.025
5.447,79.618
5.451,158.773
5.454,82.355
5.481,206.126
5.482,254.534
5.494,394.639
5.505,48.62
5.507,305.761
5.522,317.41
5.536,237.769
5.541,357.148
5.546,450.065
5.552,454.53
5.554,43.645
5.569,99.828
5.583,349.057
5.585,394.606
5.602,104.977
5.605,41.605
5.609,31.515
5.614,3.317
5.621,439.916
5.63,262.222
5.63,417.827
5.646,124.678
5.649,175.07
5.652,47.089
5.669,358.469
5.679,354.997
5.702,381.063
5.704,65.243
5.708,296.834
5.738,352.73
5.738,410.898
5.759,177.423
5.762,166.307
5.767,314.286
5.773,54.236
5.782,127.181
5.788,12.427
5.788,66.397
5.798,426.303
5.806,259.255
5.811,242.415
5.832,446.665
5.837,251.276
5.843,243.454
5.844,313.844
5.869,55.73
5.872,285.191
5.877,62.758
5.899,361.182
5.91,76.243
5.915,291.765
5.922,126.868
5.923,51.054
5.939,69.425
5.968,317.361
5.98,289.23
5.985,308.85
5.993,418.671
6.011,418.291
6.02,417.534
6.033,365.977
6.037,135.508
6.054,384.816
6.054,442.665
6.079,146.492
6.085,252.753
6.095,419.106
6.095,436.997
6.096,251.011
6.118,65.412
6.139,142.812
6.144,313.123
6.154,433.896
6.158,366.111
6.162,382.1
6.182,397.23
6.188,276.089
6.204,245.399
6.205,322.426
6.211,132.127
6.227,119.347
6.231,406.583
6.235,362.882
6.235,431.165
6.237,23.384
6.251,121.062
6.259,449.016
6.274,3.577
6.274,318.081
6.278,182.862
6.281,56.635
6.288,260.123
6.296,291.575
6.305,114.61
6.318,248.344
6.322,223.346
6.324,277.374
6.331,298.226
6.338,45.521
6.342,452.831
6.348,305.272
6.35,346.647
6.358,163.7
6.365,407.573
6.373,167.261
6.377,110.24
6.382,378.083
6.383,439.906
6.39,44.93
6.402,336.344
6.425,224.454
6.455,352.396
6.459,242.172
6.46,312.658
6.461,197.21
6.462,217.704
6.472,360.927
6.48,69.425
6.484,280.172
6.516,34.419
6.52,241.237
6.528,262.967
6.532,174.264
6.533,26.047
6.556,35.711
6.57,3.983
6.596,312.793
6.617,267.602
6.627,433.293
6.639,39.889
6.652,58.305
6.667,328.224
6.675,449.122
6.691,292.292
6.701,400.378
6.72,276.863
6.726,389.352
6.736,327.091
6.738,454.376
6.741,278.012
6.745,285.178
6.755,23.66
6.766,226.579
6.772,304.128
6.782,38.013
6.794,89.39
6.81,406.312
6.824,315.3
6.838,78.071
6.841,62.839
6.848,253.714
6.855,431.968
6.875,306.96
6.881,132.336
6.913,346.396
6.917,94.111
6.918,171.951
6.919,134.097
6.919,361.916
6.924,326.062
6.93,264.179
6.938,202.452
6.942,429.932
6.948,338.051
6.958,200.11
6.968,424.554
6.975,443.187
6.983,120.737
6.984,343.597
6.991,291.49
6.999,150.918
7.004,216.791
7.007,412.657
7.015,310.104
7.036,428.326
7.059,79.425
7.086,329.525
7.088,60.877
7.143,366.241
7.144,91.519
7.148,257.245
7.188,341.635
7.201,71.947
7.209,158.138
7.209,344.439
7.226,219.904
7.23,296.132
7.246,404.533
7.264,23.76
7.269,91.21
7.273,17.287
7.281,367.797
7.295,253.931
7.3,28.772
7.302,169.071
7.304,408.244
7.312,168.557
7.316,20.691
7.319,167.745
7.319,448.737
7.32,64.947
7.324,438.164
7.358,154.238
7.36,65.24
7.36,200.462
7.37,29.051
7.372,25.602
7.396,230.359
7.398,90.124
7.401,360.724
7.403,30.644
7.407,76.937
7.41,323.741
7.414,391.73
7.416,15.274
7.423,18.32
7.426,410.565
7.431,26.175
7.442,350.503
7.454,350.802
7.46,116.722
7.461,444.883
7.463,323.282
7.471,92.875
7.473,308.221
7.474,283.814
7.481,403.948
7.484,404.688
7.498,122.627
7.502,153.873
7.512,108.371
7.525,114.003
7.528,251.726
7.534,12.773
7.537,396.23
7.542,417.137
7.546,349.209
7.558,2.403
7.558,47.912
7.562,275.041
7.568,205.417
7.589,446.939
7.59,394.459
7.597,140.751
7.6,232.882
7.602,172.255
7.605,289.878
7.605,371.279
7.614,67.28
7.62,106.924
7.65,47.988
7.656,4.988
7.659,215.965
7.689,183.094
7.693,38.651
7.704,408.465
7.704,438.447
7.708,434.199
7.71,331.581
7.713,23.422
7.726,159.693
7.749,366.872
7.751,164.216
7.755,117.899
7.757,263.424
7.768,162.357
7.792,383.96
7.801,139.706
7.801,199.321
7.805,414.977
7.808,123.716
7.812,229.119
7.823,180.902
7.838,34.688
7.839,105.406
7.845,449.338
7.846,295.136
7.865,180.749
7.872,319.709
7.878,363.955
7.883,186.833
7.894,362.843
7.902,266.93
7.908,301.674
7.914,94.61
7.915,72.476
7.936,57.238
7.937,94.367
7.958,78.595
7.996,303.56
7.998,350.346
7.999,403.398
8.001,192.677
8.002,341.274
8.007,401.975
8.011,309.777
8.013,18.205
8.015,208.015
8.026,273.59
8.03,230.829
8.046,367.816
8.054,181.048
8.073,155.147
8.075,293.593
8.094,59.74
8.095,198.721
8.096,18.223
8.109,235.791
8.114,217.519
8.116,243.837
8.122,36.782
8.124,130.188
8.125,210.886
8.13,174.109
8.156,319.89
8.159,191.379
8.178,253.877
8.197,39.69
8.199,113.69
8.21,162.631
8.24,172.632
8.244,24.015
8.248,430.624
8.256,194.87
8.257,158.705
8.261,138.806
8.262,449.877
8.266,420.279
8.344,67.964
8.351,148.187
8.354,240.155
8.359,91.351
8.362,116.392
8.363,144.948
8.364,354.279
8.366,88.956
8.369,398.202
8.389,296.701
8.403,325.232
8.41,147.038
8.41,365.303
8.412,428.963
8.418,87.005
8.446,278.435
8.473,55.944
8.482,126.116
8.483,47.271
8.485,135.577
8.487,262.102
8.512,393.12
8.519,39.061
8.529,177.08
8.559,63.017
8.559,215.592
8.56,289.435
8.564,331.137
8.565,408.544
8.575,139.352
8.58,163.162
8.592,427.677
8.608,225.793
8.628,95.806
8.63,290.94
8.635,444.544
8.642,133.385
8.643,219.841
8.65,274.586
8.659,24.741
