x,y
0.146,34.755
0.182,19.269
0.26,13.018
0.369,34.132
0.388,30.619
0.625,46.935
0.649,17.848
0.69,61.571
0.725,41.928
0.727,11.26
0.799,21.028
0.805,12.544
0.81,24.744
1.078,41.074
1.216,51.527
1.243,63.622
1.266,9.628
1.273,31.403
1.276,10.667
1.288,45.674
1.338,24.076
1.361,41.794
1.393,13.559
1.76,7.851
1.896,18.653
1.97,28.842
1.981,49.876
2.004,1.177
2.234,47.601
2.303,0.133
2.337,12.45
2.36,12.187
2.523,50.968
2.68,58.426
2.75,62.546
2.806,18.225
2.897,30.043
2.997,9.075
3.032,37.782
3.125,30.671
3.452,22.702
3.52,46.649
3.601,7.724
3.637,7.49
3.7,10.518
3.732,50.784
3.793,8.659
3.905,41.76
3.928,18.501
4.132,4.634
4.307,50.031
4.331,32.443
4.405,54.748
4.448,17.361
4.544,24.098
5.004,28.264
5.052,31.895
5.059,15.699
5.103,3.043
5.17,2.77
5.316,29.466
5.366,4.566
5.452,62.874
5.473,26.026
5.513,29.413
5.621,6.889
5.68,45.273
5.747,5.584
5.845,26.941
6.018,12.189
6.049,21.615
6.143,2.484
6.143,50.017
6.145,17.728
6.264,43.372
6.288,29.677
6.331,57.266
6.341,15.481
6.375,61.756
6.405,31.042
6.412,46.108
6.434,37.839
6.488,39.026
6.501,44.08
6.515,10.619
6.529,62.941
6.581,21.373
6.597,43.358
6.616,33.266
6.876,44.547
6.893,27.948
6.928,21.837
6.987,29.774
7.152,29.89
7.177,4.881
7.193,29.8
7.273,4.795
7.326,48.887
7.363,63.56
7.426,55.74
7.469,47.328
7.499,27.141
7.526,3.056
7.658,29.931
7.729,62.324
7.818,44.798
7.898,17.535
7.975,47.42
8.029,2.834
8.033,38.236
8.085,50.059
8.143,49.814
8.15,47.38
8.2,19.54
8.212,10.277
8.448,45.539
8.465,6.591
8.523,36.377
8.528,54.504
8.561,37.647
8.63,3.885
8.659,38.748
8.795,28.436
8.837,5.888
8.862,56.428
8.872,55.597
8.93,42.255
9.043,38.37
9.173,58.933
9.183,19.419
9.297,1.917
9.416,54.397
9.432,42.084
9.474,11.407
9.477,43.462
9.928,29.483
10.078,43.694
10.211,26.775
10.264,2.019
10.335,25.453
10.338,20.606
10.351,8.099
10.372,38.305
10.407,27.18
10.452,61.42
10.459,18.639
10.463,12.368
10.466,3.8
10.471,0.014
10.479,59.209
10.557,28.408
10.589,11.375
10.744,50.328
10.836,45.282
10.93,23.098
10.941,50.786
10.975,45.242
11.095,52.9
11.208,8.903
11.224,18.795
11.338,7.931
11.382,44.27
11.478,28.595
11.501,47.814
11.583,14.655
11.635,33.759
11.757,55.562
11.827,26.758
11.942,24.078
12.187,8.072
12.203,13.501
12.225,23.767
12.25,41.77
12.327,44.254
12.369,4.443
12.531,62.857
12.575,61.949
12.627,29.684
12.851,49.022
12.925,43.146
13.011,37.0
13.126,34.564
13.273,40.499
13.349,16.076
13.409,13.42
13.46,16.809
13.588,35.146
13.681,54.127
13.718,3.879
13.724,28.397
13.744,46.256
13.758,44.956
13.855,63.667
13.883,38.119
13.922,56.693
13.931,34.66
13.977,1.104
14.002,9.278
14.008,41.477
14.016,49.158
14.041,13.499
14.056,24.316
14.278,55.152
14.301,32.156
14.305,5.05
14.337,59.716
14.525,7.332
14.57,23.327
14.58,26.504
14.619,9.394
14.631,26.32
14.832,51.564
14.909,50.408
14.92,22.855
14.941,15.525
15.032,20.356
15.037,40.348
15.038,32.984
15.155,25.592
15.206,63.813
15.345,8.087
15.391,21.995
15.403,47.153
15.417,34.766
15.522,58.52
15.589,31.879
15.708,37.914
15.778,29.257
15.873,20.592
15.89,26.49
15.951,4.304
15.979,44.446
16.121,1.714
16.292,30.195
16.38,10.719
16.447,26.671
16.467,39.697
16.513,26.991
16.642,46.511
16.73,62.39
16.794,53.405
16.819,45.373
16.891,45.421
16.934,53.741
16.953,40.59
16.956,55.189
17.082,3.358
17.091,39.675
17.203,60.486
17.409,19.76
17.449,29.175
17.511,61.144
17.601,11.796
17.658,59.005
17.663,57.038
17.733,16.779
17.778,45.928
17.832,13.316
17.871,2.705
18.0,53.228
18.019,1.24
18.062,36.931
18.102,39.994
18.117,34.701
18.166,32.104
18.169,25.647
18.197,28.65
18.296,14.15
18.302,18.875
18.314,55.824
18.323,49.564
18.343,51.618
18.418,14.91
18.484,50.917
18.566,47.7
18.621,42.137
18.622,52.413
18.624,48.457
18.669,42.698
18.854,14.63
18.897,13.225
18.917,34.898
19.018,48.326
19.035,34.228
19.078,14.485
19.129,47.233
19.197,34.005
19.227,20.136
19.247,40.216
19.299,33.504
19.326,46.4
19.334,0.16
19.569,24.075
19.652,44.839
19.793,0.254
19.804,28.5
19.813,4.227
19.817,16.405
19.932,10.193
19.941,37.2
19.972,31.847
19.984,31.809
20.024,1.526
20.086,24.401
20.09,5.331
20.162,12.829
20.167,48.582
20.377,18.05
20.448,52.617
20.598,31.487
20.8,49.911
20.891,58.522
21.008,35.202
21.069,40.468
21.165,43.336
21.228,37.512
21.253,36.025
21.32,22.411
21.359,15.818
21.379,31.325
21.388,18.032
21.42,27.592
21.491,32.467
21.514,21.712
21.541,34.892
21.575,21.849
21.832,33.343
21.842,1.54
21.843,25.422
22.001,45.163
22.117,4.634
22.209,49.476
22.216,15.568
22.219,33.724
22.245,47.839
22.35,39.985
22.425,62.004
22.498,4.85
22.515,58.123
22.621,21.427
22.935,54.734
22.938,41.46
22.944,2.018
22.989,25.278
22.995,36.801
23.038,43.21
23.184,4.613
23.197,0.207
23.217,38.735
23.4,19.708
23.459,27.955
23.632,47.783
23.691,52.907
23.804,24.193
23.832,20.267
23.832,36.632
23.876,62.034
23.951,8.508
23.983,24.875
24.058,22.824
24.068,55.262
24.199,6.494
24.23,28.877
24.315,27.36
24.334,48.0
24.341,53.362
24.466,16.791
24.573,48.152
24.658,33.314
24.683,5.76
24.732,49.446
24.737,13.374
24.88,10.543
24.902,7.355
24.929,53.467
24.929,59.24
25.047,2.211
25.067,41.732
25.143,57.69
25.179,34.37
25.256,5.421
25.48,13.889
25.507,61.771
25.602,32.777
25.618,43.482
25.674,16.057
25.703,21.079
25.743,52.166
25.984,27.508
26.045,11.849
26.074,53.478
26.084,41.838
26.105,1.777
26.113,35.275
26.207,32.208
26.215,32.334
26.227,10.14
26.293,41.412
26.407,6.283
26.433,40.637
26.47,61.428
26.557,53.406
26.564,36.548
26.596,28.031
26.61,16.621
26.702,24.671
26.742,20.202
26.779,62.739
26.994,36.133
27.047,8.305
27.141,62.367
27.157,56.691
27.23,63.624
27.337,14.864
27.343,0.622
27.464,1.378
27.484,42.566
27.524,30.996
27.582,18.526
27.659,2.183
27.664,15.101
27.665,62.704
27.71,42.219
27.929,23.891
27.977,33.234
28.075,9.381
28.083,28.532
28.116,0.338
28.275,27.444
28.29,38.917
28.299,35.482
28.361,41.394
28.434,39.175
28.507,33.816
28.557,43.075
28.742,54.748
28.762,5.52
28.812,31.102
28.893,12.803
28.92,44.835
28.981,11.984
29.038,29.726
29.04,17.698
29.052,13.949
29.062,25.396
29.12,13.327
29.13,49.908
29.191,48.307
29.326,24.883
29.408,43.225
29.532,42.966
29.59,48.148
29.801,17.513
29.907,52.121
29.936,54.175
30.051,54.727
30.068,56.792
30.089,49.911
30.108,21.222
30.151,27.873
30.287,49.574
30.313,38.278
30.65,46.063
30.657,55.39
30.71,47.111
30.728,20.349
30.768,12.775
30.769,26.432
30.838,1.36
30.877,47.218
30.884,10.461
31.024,8.975
31.027,29.615
31.067,39.628
31.082,27.32
31.092,28.287
31.101,45.732
31.217,29.537
31.286,49.132
31.295,10.577
31.461,55.357
31.462,39.972
31.533,25.482
31.589,24.406
31.613,34.507
31.794,8.149
32.077,56.114
32.091,8.791
32.137,7.571
32.171,48.482
32.22,61.673
32.225,51.532
32.297,40.278
32.468,42.668
32.593,27.83
32.611,19.397
32.642,54.687
32.645,42.637
32.786,43.032
32.853,0.846
32.874,0.088
32.919,38.484
33.032,16.126
33.05,60.873
33.093,29.506
33.122,3.583
33.124,25.097
33.172,24.154
33.231,21.832
33.29,1.643
33.297,2.204
33.356,60.147
33.371,28.597
33.389,41.826
33.465,7.651
33.537,55.564
33.569,47.33
33.632,34.732
33.721,53.651
33.863,44.605
33.874,54.47
33.902,12.894
33.913,48.723
33.947,4.21
34.013,28.314
34.088,50.254
34.316,48.373
34.345,3.99
34.351,19.744
34.371,59.415
34.437,11.372
34.482,14.235
34.492,34.262
34.888,12.097
34.965,44.036
35.08,43.765
35.08,55.378
35.082,57.495
35.138,51.54
35.209,24.399
35.221,23.971
35.229,21.478
35.305,46.874
35.356,8.173
35.383,33.222
35.499,18.955
35.516,38.626
35.637,54.493
35.668,50.331
35.883,57.417
35.938,51.506
36.044,58.592
36.149,5.383
36.287,35.223
36.418,29.303
36.473,6.434
36.536,61.672
36.538,63.989
36.584,29.242
36.636,7.952
36.67,12.779
36.688,11.986
36.718,24.988
36.777,14.171
36.817,20.056
36.929,48.163
37.006,4.082
37.059,24.701
37.068,48.231
37.15,21.643
37.17,33.46
37.188,50.381
37.292,15.213
37.361,17.705
37.448,32.95
37.477,5.651
37.48,20.192
37.518,58.826
37.645,59.86
37.732,63.193
37.763,34.876
37.79,49.71
37.949,20.564
37.953,22.668
37.954,12.68
37.954,57.707
37.956,15.992
38.015,43.273
38.018,8.533
38.056,19.826
38.067,11.144
38.115,3.579
38.124,46.315
38.131,22.353
38.221,20.637
38.289,42.579
38.306,4.375
38.399,57.842
38.461,39.265
38.483,15.782
38.497,41.326
38.542,17.365
38.571,31.458
38.765,51.257
38.854,22.091
38.899,26.696
38.937,53.742
39.012,51.143
39.058,14.564
39.062,16.864
39.355,41.69
39.494,6.172
39.51,14.893
39.529,12.673
39.55,17.987
39.599,51.099
39.696,20.117
39.709,3.769
39.745,60.921
39.826,41.906
40.022,58.321
40.045,13.719
40.061,55.502
40.112,24.561
40.154,6.575
40.186,4.641
40.392,47.611
40.405,53.33
40.442,20.163
40.475,38.535
40.528,4.729
40.543,25.734
40.554,26.963
40.565,11.115
40.568,51.726
40.572,51.58
40.585,29.208
40.633,59.633
40.708,55.355
40.84,1.99
40.904,27.486
40.937,50.154
40.968,48.969
40.971,1.214
41.051,22.159
41.171,63.045
41.177,14.69
41.241,43.335
41.273,44.733
41.331,17.841
41.365,13.168
41.378,23.729
41.495,54.691
