x,y
0.162,49.114
0.199,3.54
0.22,32.942
0.222,11.05
0.232,5.809
0.281,39.472
0.378,28.282
0.393,1.1
0.401,32.006
0.446,5.632
0.563,35.735
0.566,35.492
0.569,48.213
0.605,31.996
0.626,56.298
0.727,17.511
0.914,13.713
0.942,57.576
0.988,14.962
1.024,16.743
1.06,39.531
1.102,22.451
1.103,46.133
1.188,14.138
1.213,17.179
1.223,60.169
1.319,58.606
1.332,27.733
1.375,52.887
1.465,50.837
1.508,53.028
1.542,43.219
1.562,55.796
1.67,31.698
1.689,25.107
1.748,43.93
1.806,40.104
1.831,59.473
1.837,53.338
1.879,9.265
1.961,47.549
2.005,5.785
2.019,20.178
2.058,57.222
2.06,19.151
2.085,60.663
2.087,28.049
2.207,40.012
2.269,49.043
2.278,45.052
2.391,23.981
2.448,61.887
2.449,13.184
2.552,44.125
2.703,47.125
2.824,33.395
2.939,59.802
3.425,55.658
3.555,0.592
3.579,47.469
3.723,29.112
3.732,47.657
3.761,37.755
3.851,37.669
3.86,44.371
4.054,56.898
4.057,30.686
4.128,45.907
4.16,16.585
4.184,48.311
4.201,40.947
4.292,59.748
4.303,15.74
4.387,46.702
4.565,29.864
4.573,38.422
4.578,47.405
4.715,63.71
4.783,45.994
4.797,47.025
5.008,26.013
5.08,7.379
5.117,49.823
5.142,36.367
5.253,61.056
5.283,31.087
5.535,54.241
5.587,6.072
5.614,15.513
5.642,28.658
5.666,23.761
5.88,31.853
5.926,40.039
5.997,59.65
6.173,18.14
6.266,19.764
6.441,12.127
6.457,34.453
6.612,50.265
6.648,53.347
6.865,40.837
6.953,10.928
6.958,53.661
6.979,62.513
7.009,15.163
7.114,46.378
7.162,10.871
7.335,47.066
7.339,8.812
7.34,14.019
7.368,19.948
7.368,38.644
7.395,9.295
7.396,35.479
7.399,63.428
7.436,63.949
7.448,61.4
7.45,20.907
7.487,28.336
7.513,35.885
7.645,56.49
7.707,12.731
7.925,58.879
7.965,26.855
8.008,21.022
8.119,4.772
8.154,32.736
8.223,43.336
8.312,56.657
8.325,11.142
8.343,24.264
8.365,39.142
8.412,43.178
8.417,63.859
8.521,61.951
8.586,1.873
8.627,44.703
8.662,14.377
8.954,6.262
8.977,49.008
9.078,63.453
9.117,37.844
9.245,5.564
9.319,43.969
9.347,25.826
9.353,14.014
9.422,33.447
9.734,24.388
9.944,34.693
10.051,33.995
10.35,27.495
10.387,32.206
10.452,2.382
10.462,4.789
10.52,3.12
10.524,38.103
10.591,32.677
10.61,45.172
10.615,34.535
10.632,57.158
10.633,2.439
10.639,26.736
10.687,1.724
10.693,62.624
10.704,49.703
10.708,16.657
10.742,24.744
10.747,47.36
10.822,60.384
10.845,25.506
10.859,12.072
10.954,16.859
10.957,10.811
11.029,28.927
11.145,2.884
11.202,57.811
11.261,37.025
11.409,63.474
11.437,15.362
11.498,51.574
11.518,43.135
11.554,56.493
11.688,25.811
11.752,34.017
11.783,22.975
11.803,55.665
11.825,26.518
11.878,15.327
12.051,11.636
12.068,22.978
12.216,15.401
12.234,61.835
12.248,8.797
12.313,7.752
12.398,15.892
12.424,63.777
12.494,28.827
12.51,19.587
12.548,42.423
12.549,12.192
12.562,29.694
12.573,27.127
12.582,27.022
12.646,53.5
12.75,45.084
12.757,27.329
12.796,38.934
12.951,46.728
12.997,52.661
13.004,6.345
13.057,8.931
13.134,63.73
13.162,43.82
13.191,3.816
13.218,30.556
13.258,10.824
13.258,44.666
13.366,63.964
13.485,14.679
13.532,54.75
13.536,20.592
13.556,22.648
13.589,39.191
13.646,49.018
13.721,1.213
13.724,11.438
13.798,52.977
13.827,19.924
13.907,5.048
13.965,2.986
13.981,51.749
14.188,18.938
14.204,26.866
14.211,8.458
14.248,57.753
14.275,28.641
14.289,54.73
14.31,44.579
14.316,49.218
14.329,30.413
14.346,61.179
14.542,32.128
14.656,4.797
14.67,25.168
14.682,34.241
14.79,15.259
14.852,19.973
15.013,16.072
15.091,27.014
15.166,34.065
15.196,60.109
15.294,27.766
15.301,61.977
15.314,29.712
15.347,55.902
15.357,12.919
15.378,21.263
15.385,56.262
15.404,40.259
15.432,23.7
15.745,7.83
15.796,8.887
15.959,25.802
15.971,49.611
16.081,53.897
16.235,21.438
16.263,61.156
16.31,14.556
16.332,3.581
16.377,43.636
16.451,7.467
16.498,54.084
16.516,38.356
16.591,55.236
16.643,44.143
16.695,3.212
16.739,29.187
16.962,55.727
17.32,15.198
17.402,60.197
17.415,45.445
17.465,22.349
17.471,5.917
17.511,54.543
17.529,52.118
17.545,61.247
17.614,19.886
17.659,41.093
17.662,58.166
17.742,40.158
17.77,49.199
17.8,40.196
17.824,38.187
17.866,58.519
17.876,8.791
18.052,8.353
18.065,36.918
18.125,29.193
18.185,3.433
18.214,24.854
18.481,15.689
18.589,60.271
18.624,60.349
18.904,63.794
18.931,23.738
18.991,12.782
19.009,6.199
19.194,11.304
19.228,1.919
19.291,40.233
19.427,38.279
19.454,21.393
19.506,57.251
19.507,2.141
19.57,13.099
19.831,2.182
19.846,36.934
19.853,29.904
19.873,44.193
19.896,60.933
19.922,12.906
19.991,57.434
20.113,56.687
20.238,53.581
20.282,53.408
20.334,57.869
20.381,56.544
20.456,22.631
20.499,18.154
20.567,39.932
20.72,59.514
20.793,6.112
20.819,22.063
20.827,37.811
20.86,56.068
20.94,29.569
20.989,53.892
21.035,49.361
21.062,29.889
21.124,28.237
21.179,61.771
21.193,63.026
21.285,14.538
21.313,43.507
21.359,6.59
21.397,42.809
21.411,58.918
21.677,28.572
21.692,22.757
21.721,7.954
21.729,46.01
21.791,51.954
21.946,51.41
21.956,61.009
22.07,26.197
22.1,56.746
22.219,20.904
22.225,21.383
22.28,12.718
22.347,18.066
22.373,40.135
22.377,9.65
22.462,23.083
22.524,35.139
22.587,4.831
22.723,37.198
22.735,55.643
22.769,22.059
22.796,11.413
22.824,58.633
22.83,22.007
22.855,27.539
22.873,6.885
22.983,8.523
23.119,36.376
23.338,8.794
23.45,43.409
23.461,42.87
23.491,2.732
23.534,49.33
23.564,54.291
23.567,1.959
23.649,53.111
23.651,14.407
23.659,46.182
23.743,20.711
23.744,13.506
23.923,48.078
23.934,5.222
23.982,9.912
24.017,37.654
24.067,54.714
24.269,48.545
24.329,14.459
24.361,16.21
24.455,21.22
24.546,41.912
24.574,59.86
24.59,26.76
24.754,59.69
24.755,6.552
24.757,33.778
24.76,11.903
24.803,27.328
24.889,41.956
24.918,30.879
25.149,58.5
25.186,33.382
25.236,17.675
25.243,28.435
25.267,6.947
25.294,45.411
25.308,62.279
25.328,7.524
25.48,14.212
25.572,26.228
25.699,5.098
25.763,43.837
25.807,17.972
25.823,49.549
25.91,52.971
26.001,11.859
26.06,62.137
26.116,41.473
26.28,12.988
26.411,3.12
26.417,13.377
26.424,44.15
26.469,58.536
26.514,14.604
26.552,63.061
26.61,62.99
26.646,0.348
26.649,38.904
26.848,31.318
26.864,24.543
26.864,49.146
26.889,35.278
26.942,41.079
27.069,2.268
27.085,54.215
27.202,3.873
27.217,35.239
27.217,41.654
27.441,38.594
27.446,20.138
27.518,31.689
27.524,38.419
27.674,46.055
27.678,37.184
27.73,35.182
27.838,21.725
27.844,40.174
27.872,24.184
27.977,24.661
27.989,43.361
28.014,52.018
28.021,6.071
